source_id,source_class,authors,year,title,venue,doi_or_url,license,reuse_status,verified_at,relevance,notes
kheirkhah-2025,clinical_lit,"Kheirkhah et al.",2025,"Mindfulness, music, visual occlusion in ketamine therapy for depression: do they change outcomes? A qualitative and quantitative analysis of a randomized controlled trial",Frontiers in Psychiatry,10.3389/fpsyt.2025.1642025,CC-BY,permitted,2026-04-24,high,"RCT n=43 (22 intervention, 21 control). CORRECTION 2026-04-24: does NOT use 11D-ASC (only references Farnes et al.); uses MADRS/HAM-D/QIDS/MAAS/DSES/PTQ. Still load-bearing as the only RCT directly testing setting effects (intervention vs control). 28 records extracted. PMC: PMC12439531."
studerus-2010,psychometric,"Studerus, Gamma, Vollenweider",2010,Psychometric Evaluation of the Altered States of Consciousness Rating Scale (OAV),PLOS ONE,10.1371/journal.pone.0012412,CC-BY,permitted,2026-04-23,high,"Source paper for the 11-factor (informally 11D-ASC) model. Provides factor structure mapping; questionnaire items NOT reproduced in paper. We must NOT reproduce items verbatim either — cite the factor names + thematic content only. Anchors the psychometric evaluation pillar."
mollaahmetoglu-2021,qualitative_interview,"Mollaahmetoglu et al.",2021,"This Is Something That Changed My Life: A Qualitative Study of Patients' Experiences in a Clinical Trial of Ketamine Treatment for Alcohol Use Disorders",Frontiers in Psychiatry,10.3389/fpsyt.2021.695335,CC-BY,permitted,2026-04-23,high,"n=12, clinical setting, 0.8 mg/kg up to 3 weekly infusions. Verbatim patient quotes — quote scope OK to extract under CC-BY with attribution. PMC: PMC8415567. Strong source for narrative_features (oneness, peacefulness, identity_shift)."
marguilho-2022,clinical_lit,"Marguilho, Figueiredo, Castro-Rodrigues",2022,A unified model of ketamine's dissociative and psychedelic properties,Journal of Psychopharmacology,10.1177/02698811221140011,CC-BY-4.0,permitted,2026-04-23,high,"Theoretical/review paper. Maps dose-dependent dissociative (lower dose, salience network) vs psychedelic (higher dose, default-mode network) phenomenology. Best single source for state_vector dimension grouping and for the dose_tier abstraction in the schema. PMC: PMC9834329."
trimmel-2024,qualitative_interview,"Trimmel, Renner, Kaltenboeck",2024,How Do People Who Undergo Ketamine Treatment for a Psychiatric Problem Subjectively Experience This Intervention? A Meta-Synthesis of Qualitative Studies,International Journal of Mental Health Nursing,10.1111/inm.13425,CC-BY-NC-ND-4.0,paraphrase_only,2026-04-23,high,"Synthesizes 24 qualitative studies. Three-stage framework (pre-treatment / acute / post-treatment) maps cleanly onto our phase model. NoDerivatives clause = paraphrase only, no verbatim excerpts, no remixing of figures. PMC: PMC11751762."
hase-2022,clinical_lit,"Hase, Erdmann, Limbach, Hasler",2022,Analysis of recreational psychedelic substance use experiences classified by substance,Psychopharmacology (Berl),10.1007/s00213-022-06062-3,Open-access (PMC),permitted,2026-04-23,medium,"NLP on 2,947 reports across substances using LIWC + LSA, mapped to OAV and Hood's M scales. Analysis used Erowid as data source — they obtained their own permission; we cite their FINDINGS, not their underlying corpus. Useful as methodological precedent for distributional similarity pillar."
walaszek-2025,clinical_lit,"Walaszek, Cubała, Kachlik",2025,Patients' Voices on Ketamine for Treatment-Resistant Depression: A Narrative Review of Qualitative Perspectives,Journal of Clinical Medicine,10.3390/jcm15010150,CC-BY-4.0,permitted,2026-04-24,high,"Narrative review of qualitative + mixed-methods studies. Contains verbatim patient quotes (e.g. 'my hands felt backwards', 'I was floating in an empty void', 'lifting the blanket'). Critiques CADSS as a measure and discusses MEQ + Challenging Experiences Questionnaire. Does NOT use 11D-ASC. PMC: PMC12787286."
greenway-2025,clinical_lit,"Greenway et al.",2025,The Music for Subanesthetic Infusions of Ketamine randomised clinical trial: ketamine as a psychedelic treatment for highly refractory depression,British Journal of Psychiatry,10.1192/bjp.2025.102,CC-BY-4.0,permitted,2026-04-24,high,"RCT n=32 with 181 ketamine infusions. Uses Mystical Experience Questionnaire (MEQ) and Emotional Breakthrough Inventory (EBI) — distinct measure family from 11D-ASC, useful for cross-validation in psychometric pillar. Reports relationship between subjective experience and antidepressant outcomes."
jilka-2021,qualitative_interview,"Jilka et al.",2021,Ketamine treatment for depression: qualitative study exploring patient views,BJPsych Open,10.1192/bjo.2020.165,CC-BY-4.0,permitted,2026-04-24,low-medium,"Focus groups n=14. Verbatim quotes present. PROSPECTIVE views (concerns about treatment), not in-treatment phenomenology — limited coverage of acute phases. Use for person_profile (expectancy_valence) and for setting concerns; not load-bearing for trajectory shape. PMC: PMC8058884."
breeksema-2023,qualitative_interview,Breeksema et al.,2023,Phenomenology and therapeutic potential of patient experiences during oral esketamine treatment for treatment-resistant depression: an interpretative phenomenological study,Psychopharmacology,10.1007/s00213-023-06388-6,CC-BY-4.0,permitted,2026-04-24,high,"VERIFIED 2026-04-24 via PMC10271905. n=17 (11F, 6M), oral esketamine, twice-weekly x 6 weeks, IPA framework. EXPLICITLY covers post-session/return phase — 'Lifting the blanket: neutralizing mood effects' (1-4 day duration) + 'Feeling hungover and fatigued'. Fills the onset/return phase gap AND the oral-route gap from phase 3 pilot."
